dialog_id,meme_id,text,actor_id
03007f53-6007-4203-a0d3-88696d2b25bc,3730506f-7527-44f4-8c5c-4a124e29414d,"vere valla abbay ",9e793cf9-0646-4896-b090-64f45dbe45b6
030db057-ef70-4f45-8fb0-cdbc7bf4cb80,bf083c25-e5a1-4b60-9e11-aca9377aea08,principle: Nuuv aravaku nenu chepthunaga,47986adc-d68c-40d8-8383-ba5910f6dc80
030e78fc-21c3-4543-84aa-3f07876fba7e,c02c59b7-80c5-439f-b3a8-7f43e5e322be,"Rey fast. gaa velthey Pothaav rey, Jaagratha",7c86cb06-0197-4960-8b6b-ec341437ff6b
0311ad5b-c24d-4c1f-898f-f272bef6ead1,bf2b8122-892e-4277-890c-fdc46871e902,chepu,eb01c25d-c853-4459-85b7-49ffb9c37504
031c6ab5-66b3-4c81-b17f-4d44d321f118,4ba4db85-7a67-4274-9ee9-031e6a4808cc,"Hero: Eppati nuncho, Regular gaa ee library key vasthaanu",7c86cb06-0197-4960-8b6b-ec341437ff6b
0320fd71-8788-40c3-b7d6-8becf559984d,74ffd889-4f88-468e-a16b-a9e04d6af006,My friend with his girlfriend: Evening movie ki veldham ready ga undu,32d597e9-20ee-4727-a308-97fd9fa647bb
033d4191-c2e9-4c11-8ed7-f1f0083aedaf,7b6adf42-54fd-4935-837b-cb067acdcf65,when you talking and ur mate doing the work seriously,3ab71c5c-35b0-4555-a3ab-d26d0e8b4d56
034ccce7-5dad-41c7-a130-7dcb240cab99,03316863-e089-48ac-be34-00af72358aef,"Ninnu Choodatledhani pulpekki pothunnavanta gaa, andukey Ninnu choodadaniki ",650ba78f-2100-4325-be59-19c1a8078e94
037200bd-e696-43dd-94a7-16dad43a435e,3ac34e10-5941-4477-87ae-fa3193697a9b,"My lecturer shouting on my friend when he doesn't know what to answer for his doubt ",719a31ec-ccc5-470d-8de7-85c9e2f4fb4a
0373a392-6ba1-4be0-a9b5-039438c4edd1,f3c5a93a-0a6f-4da4-a123-f84b8ec41ffc,nanna: rey train ki time avthundi veldam padha..,32d597e9-20ee-4727-a308-97fd9fa647bb
0376e83e-ac35-4056-99bd-8ded43e0b14e,278be7cd-51ff-4967-87f2-2f935b3a3eec,me with my friend phone: aunty me ayyana intlo leru antaga nanu ramantava..,df8d1267-da72-4a96-b250-8a1ed48191ce
03813602-258d-4110-94db-de7ec043a128,891625d8-012e-4725-8822-e09e2904d787,manager introducing everyone for new mate: veedu suri koncham pani thakuva chesthadu but perfect ga chesthadu,32d597e9-20ee-4727-a308-97fd9fa647bb
038da4aa-00f6-4b00-bca7-4d78ba084ae1,8594fdc4-d21f-4662-a51a-4807c31c594e,My friend waiting for 12.00 for New Year 2025,a56bade1-85c4-4d13-8d41-2a42084341ce
0397e433-4f7f-434f-8ce9-42a8d11f0b71,992685b1-a65d-4771-8414-edcdbaf2727a,Me dancing as i like in a family function,87773893-19c4-4dd5-89bf-e0bcbba567eb
03a5bfc3-1acf-4f2e-b2c0-0c3f8f81df7e,47d0d18c-cf9e-4d77-8dca-a3ca36d17281,My frnd: Nuvvu thopu raa mowaaaa!,cc55ca01-252e-4960-af41-0d4654a08597
03b6dbaa-4699-4c1f-ab74-5c3f6a623ecc,11380a7e-68e3-4f3a-8ca3-e0ce371589db,"Evadu Kodithey dhimma tirigi Mind block avuthundho, Vaade Pandu gaadu",719a31ec-ccc5-470d-8de7-85c9e2f4fb4a
03bd37b3-944a-4f15-8cd4-e29ab4c72098,9ba9341b-aef0-4b05-b2c2-6ceb1787e933,Mom: Eraa enti ila maaripoyav nuvvena asalu aah bottu enti,20fd7708-a7f5-4b7a-a61a-ec8be9062a34
03be267e-8bdc-4a11-adc3-8031c243c7bf,7038ae61-a5b3-4f3b-b201-915fffaacd03,Me to my friend: Nannu prasanthamga undanivvara?,30ed3323-8c4f-4b9b-b093-5bfec225e3f5
03ee5d01-3e7c-4f16-90a1-b20e8769da1a,c510192f-25cb-490c-926c-dfdd43610791,Pakkodi tune lu copy kottadaniki nuvvu evadraa,53679f2b-0fea-4ecc-921e-453df854da19
03f90203-6386-41ff-879d-0a6811599339,238e8c81-89d9-42a7-a57f-77f4d7c3ff79,"Uncle: Monna oka ammayitho bayata thiruguthunte chusaa ",511c2961-98df-4bf0-9ff8-9bb135d5a044
04186317-0b7a-4c1e-80f0-0a4ad9aa43f8,9a930e11-fcea-47ce-a9e2-55c9e3a0a74b,Me: Mari aah jebulaa sweets enti!,7981bd09-6ad2-40ea-b9e0-fe5e4751da35
0424801e-7221-420e-ab1d-18f3be557be6,63fefe52-e405-439c-9434-3d26cdf5a93b,"Appude intlo emanaru ",ce6a087f-e6ef-46a9-8ae1-4f5972bd32a2
042dda5e-9266-4a90-9612-8d19d543db6d,89c50f2a-ef3e-43a8-b657-e0a5bc52aac5,many great people to all my salute ra,3ab71c5c-35b0-4555-a3ab-d26d0e8b4d56
